State,Non_HispanicWhite,Non_HispanicBlack,American_Indian,Asian,Hispanic,Other,latitude,longitude,,,
Alabama,0.749235474,1.81509434,0,0,0,0,32.31823,-86.902298,,,
Arizona,0.931985294,0.931818182,5.875,0,0.547468354,0,32.31823,-86.902298,,,
California,1.035326087,1.767857143,0,1.231292517,0.816793893,0.419354839,36.778259,-119.417931,,,
Colorado,0.998527246,1.875,0,1.303030303,0.852534562,0.666666667,39.113014,-105.358887,,,
Connecticut,1.190977444,1.176470588,0,0,0.381818182,0,41.599998,-72.699997,,,
Florida,1.003738318,1.296774194,0,0.821428571,0.911877395,0,27.994402,-81.760254,,,
Georgia,0.88740458,1.574603175,0,0.452380952,0.214285714,0,33.247875,-83.441162,,,
Illinois,0.8,2.19858156,0,0.912280702,0.833333333,0,40,-89,,,
Indiana,1.010139417,1.673684211,0,0,0.478873239,0,40.273502,-86.126976,,,
Iowa,1.045720985,0,0,0,0,0,42.032974,-93.581543,,,
Kansas,0.841479524,5.684210526,0,0,0,0,38.5,-98,,,
Kentucky,0.962040332,2.097560976,0,0,0,0,37.839333,-84.27002,,,
Louisiana,0.735494881,1.66873065,0,0,0.442307692,0,30.39183,-92.329102,,,
Maryland,0.914851485,1.406040268,0,0.666666667,0.644230769,0,39.045753,-76.641273,,,
Massachusetts,1.141456583,1.138888889,0,0.442857143,0.495934959,0.526315789,42.407211,-71.382439,,,
Michigan,0.774365821,2.666666667,0,0.545454545,0.365384615,0.565217391,44.182205,-84.506836,,,
Minnesota,1.116981132,0.939393939,0,0,0,0,46.39241,-94.63623,,,
Mississippi,0.727433628,1.564171123,0,0,0,0,33,-90,,,
Missouri,0.786885246,2.887931034,0,0,0,0,38.573936,-92.60376,,,
Nevada,0.901437372,1.901098901,0,2.156626506,0.65862069,0,39.876019,-117.224121,,,
New Jersey,1.092896175,1.07751938,0,0.653061224,0.932038835,0.25,39.833851,-74.871826,,,
New York,0.9,1.704545455,0,1.023255814,1.213675214,0.277777778,43,-75,,,
New York City,0.903426791,1.186363636,0,0.619047619,0.945205479,4.611111111,43,-75,,,
Ohio,1.059720457,1.126984127,0,0,0,0,40.367474,-82.996216,,,
Oklahoma,1.047473201,1.189189189,1.590361446,0,0,0,36.084621,-96.921387,,,
Pennsylvania,0.91064389,1.935185185,0,1.027777778,0.763157895,0,36.084621,-96.921387,,,
South Carolina,0.706436421,2.022556391,0,0,0,0,33.836082,-81.163727,,,
Tennessee,0.853459973,1.760479042,0,0,0,0,35.860119,-86.660156,,,
Texas,1.142168675,1.816666667,0,0.4,0.714646465,0,31,-100,,,
Virginia,0.965853659,1.455497382,0,1.205882353,0.458333333,0,37.926868,-78.024902,,,
Washington,1.114705882,0.974358974,0,1.175824176,0.573643411,0,47.751076,-120.740135,,,
Wisconsin,0.742293465,4.890625,0,0,0.782608696,0,44.5,-89.5,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,